epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.26112,2.67288,11.5783,2.45494,0.00439,0.25,0.00764,0.00076,1.21169,7.53641,1.92111,1.334e-05,1.334e-05,1.334e-05
2,4.76337,2.97102,11.6929,2.60182,0.01042,0.08333,0.00855,0.00085,1.19074,7.53639,1.90323,3.25246e-05,3.25246e-05,3.25246e-05
3,6.21741,2.6274,11.2256,2.46385,0.01778,0.33333,0.05049,0.01143,1.01804,7.50341,1.82543,5.07187e-05,5.07187e-05,5.07187e-05
4,7.69105,2.3589,10.8963,2.34386,0.0291,0.43056,0.10985,0.03975,0.96065,7.43084,1.68768,6.79223e-05,6.79223e-05,6.79223e-05
5,9.19501,1.88812,10.9786,2.29106,0.02749,0.48611,0.11872,0.10115,0.88009,7.4178,1.63849,8.41354e-05,8.41354e-05,8.41354e-05
6,10.6692,2.12314,11.3232,2.28126,0.02048,0.48611,0.07118,0.06077,0.9641,7.41977,1.66936,9.9358e-05,9.9358e-05,9.9358e-05
7,12.1635,2.06401,10.5509,2.07215,0.01974,0.52778,0.13259,0.11949,0.93289,7.4016,1.70461,0.00011359,0.00011359,0.00011359
8,13.6307,1.91539,10.2257,2.10512,0.01747,0.52778,0.18012,0.13531,0.91173,7.37227,1.7184,0.000126832,0.000126832,0.000126832
9,15.1413,1.97824,10.0104,2.12044,0.01392,0.52778,0.18005,0.16537,0.98767,7.32853,1.76866,0.000139083,0.000139083,0.000139083
10,16.6658,2.20233,9.70016,2.09142,0.01243,0.52778,0.18061,0.16427,1.02359,7.31543,1.79384,0.000150343,0.000150343,0.000150343
11,18.1497,2.092,10.1377,2.10024,0.01045,0.52778,0.17388,0.15579,1.0945,7.2728,1.94957,0.000160614,0.000160614,0.000160614
12,19.7432,1.88763,9.58812,1.95006,0.01015,0.52778,0.13262,0.11861,1.08314,7.23962,2.0042,0.000169893,0.000169893,0.000169893
13,21.3466,2.01543,9.296,2.08817,0.00662,0.48611,0.10967,0.10529,1.0963,7.16483,2.07885,0.000178182,0.000178182,0.000178182
14,22.8239,2.00534,8.66131,1.99066,0.00805,0.52778,0.11199,0.10665,1.10059,7.1125,2.10692,0.000185481,0.000185481,0.000185481
15,24.3092,1.83533,8.79755,1.89778,0.00726,0.52778,0.11197,0.09878,1.15198,7.04277,2.10908,0.000191789,0.000191789,0.000191789
16,25.8535,1.86637,8.40216,2.03458,0.007,0.52778,0.16207,0.15322,1.1272,6.98059,2.0888,0.000197107,0.000197107,0.000197107
17,27.4234,1.98998,8.356,2.04326,0.00749,0.52778,0.24323,0.2058,1.16786,6.85341,2.07918,0.000201434,0.000201434,0.000201434
18,28.8993,1.85249,8.27071,1.8887,0.00717,0.52778,0.22835,0.20313,1.14186,6.8109,2.013,0.000204771,0.000204771,0.000204771
19,30.4089,1.89035,8.49395,1.89191,0.00708,0.52778,0.22882,0.20519,1.11192,6.76687,2.00367,0.000207117,0.000207117,0.000207117
20,31.8367,1.82631,7.5885,2.03615,0.00681,0.52778,0.25445,0.22041,1.11473,6.70616,1.98961,0.000208473,0.000208473,0.000208473
21,33.3214,2.00497,7.64604,2.0615,0.00674,0.52778,0.2705,0.22742,1.08523,6.63787,1.98421,0.000208838,0.000208838,0.000208838
22,34.8633,1.98062,7.5396,1.92091,0.00657,0.52778,0.27438,0.23091,1.07597,6.57066,1.88912,0.000208212,0.000208212,0.000208212
23,36.288,1.91533,7.225,1.93701,0.00741,0.69444,0.27444,0.21835,1.12495,6.49036,1.88161,0.000206597,0.000206597,0.000206597
24,37.7551,1.83682,7.18121,1.85028,0.0062,0.52778,0.27802,0.22272,1.15332,6.44649,1.89588,0.00020399,0.00020399,0.00020399
25,39.2182,1.75228,7.08678,1.93525,0.00623,0.52778,0.29148,0.2355,1.18708,6.38533,1.89937,0.000200393,0.000200393,0.000200393
26,40.7007,1.92982,6.83639,1.94276,0.00734,0.69444,0.28459,0.24165,1.2159,6.31046,1.91841,0.000195806,0.000195806,0.000195806
27,42.151,1.8168,6.54236,1.99383,0.00894,0.86111,0.28222,0.24936,1.24105,6.23458,1.93876,0.000190228,0.000190228,0.000190228
28,43.5752,1.89216,6.7543,2.03586,0.009,0.86111,0.31618,0.26838,1.2176,6.18207,2.08777,0.00018366,0.00018366,0.00018366
29,45.06,1.94126,6.36942,1.88847,0.009,0.86111,0.31618,0.26838,1.2176,6.18207,2.08777,0.000176101,0.000176101,0.000176101
30,46.5221,1.80471,6.37969,1.85225,0.00877,0.86111,0.3721,0.30627,1.2124,6.05347,2.07717,0.000167552,0.000167552,0.000167552
31,48.0094,1.53825,8.52814,1.80295,0.00872,0.86111,0.49623,0.41278,1.18488,5.92361,2.06019,0.000158012,0.000158012,0.000158012
32,49.4602,1.78397,8.78022,1.89624,0.00824,0.86111,0.45571,0.37462,1.18526,5.75295,2.03131,0.000147482,0.000147482,0.000147482
33,50.8862,1.58024,8.46423,1.75973,0.00824,0.86111,0.45571,0.37462,1.18526,5.75295,2.03131,0.000135961,0.000135961,0.000135961
